Author,OA_Profile,Geographic Trajectory,Years in the US,Years in China,Geographic Trajectory (simplified),Geographic Trajectory (even more simplified),1980,1981,1987,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
An Yang,https://openalex.org/A5110994152,China ---> Japan ---> China,0,5,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,China,,,,,,,China,,,Japan,,,,,,China,China,China,
Anfeng Li,https://openalex.org/A5034609763,China,0,4,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China
B. X. Yu,https://openalex.org/A5080178313,China,0,6,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,,,,China,,,,,China,China,
B. Zheng,https://openalex.org/A5050479679,United States ---> China ---> Germany ---> China,2,17,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,,,,,United States,United States,,,China,China,China,Germany,China,China,China,China,China,China,China,China,China,China,China,China,China,China,
Baosong Yang,https://openalex.org/A5028040391,China ---> Macao ---> China ---> United States,2,5,Multinational Travel ---> United States,"Started in China, Ended up in United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,Macao,China,China,United States,United States,
Beichen Zhang,https://openalex.org/A5101849102,China ---> United States ---> China,1,7,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,China,China,China,,China,China,,,United States,China,
Benfeng Xu,https://openalex.org/A5085563247,China,0,6,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,China,
Binyuan Hui,https://openalex.org/A5080628250,China ---> United States ---> China ---> United States,3,4,Multinational Travel ---> United States,"Started in China, Ended up in United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,United States,China,China,United States,United States,
Bo Zheng,https://openalex.org/A5022217475,Germany ---> China,0,26,Multinational Travel ---> China,"Started in Germany, Ended up in China",,,,,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,
Bowen Yu,https://openalex.org/A5101188063,China,0,8,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,China,China,China
C. Huang,https://openalex.org/A5110696747,China,0,1,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,
Chang Gao,https://openalex.org/A5112325299,United States ---> China,1,11,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,,,,,,,,,United States,,China,China,China,,,,,China,China,,China,China,,China,China,China,China
Chang Zhou,https://openalex.org/A5102025315,Germany ---> China ---> Hong Kong ---> China,0,13,Multinational Travel ---> China,"Started in Germany, Ended up in China",,,,,,,,,,,,,,,,,,,,Germany,,,,,,China,,China,China,China,China,China,China,China,China,China,China,China,Hong Kong,China
Chengqiang Lu,https://openalex.org/A5103860397,Taiwan ---> China ---> Cayman Islands ---> China,0,9,Multinational Travel ---> China,"Started in Taiwan, Ended up in China",,,,,,,Taiwan,,,,,,,,,,,,,,China,China,,,,,,,,,China,,China,China,China,China,China,Cayman Islands,China,
Chengyuan Li,https://openalex.org/A5002944495,Australia ---> China ---> United States ---> The Netherlands ---> China ---> Australia ---> China ---> Australia ---> China,1,7,Multinational Travel ---> China,"Started in Australia, Ended up in China",,,,,,,,,,,Australia,,,,,,,,China,,,,,,,United States,The Netherlands,The Netherlands,China,Australia,Australia,Australia,Australia,China,Australia,Australia,China,China,China,China
Cheng‐Peng Li,https://openalex.org/A5041916202,China ---> United States ---> China ---> United States ---> China,3,20,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,United States,United States,China,United States,China
Chenxu Lv,https://openalex.org/A5015300653,China,0,4,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,,China,,China,
Chuanqi Tan,https://openalex.org/A5065907658,United States ---> China,1,10,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,,,United States,,,,,,,,,,,,China,,China,China,China,China,China,China,China,China,China,,
Chujie Zheng,https://openalex.org/A5016924921,China,0,6,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,,China,
Dayiheng Liu,https://openalex.org/A5062188134,China ---> United States ---> China,2,7,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,China,China,China,China,United States,United States,China,China,
Fan Yang,https://openalex.org/A5115602252,United States ---> China ---> United States ---> China,3,20,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,United States,,,,,China,China,United States,United States,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Fan Zhou,https://openalex.org/A5100403505,China ---> United Kingdom ---> China ---> United States ---> China ---> Uzbekistan,1,18,Multinational Travel ---> Uzbekistan,"Started in China, Ended up in Uzbekistan",,,,,,,,,China,,China,,,,United Kingdom,,,,,,,,China,China,China,China,China,China,China,China,United States,China,China,China,China,China,China,China,China,Uzbekistan
Fei Huang,https://openalex.org/A5101488344,China ---> United States ---> China ---> United States ---> China ---> United States ---> China,12,13,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,China,United States,United States,China,United States,United States,China,United States,United States,United States,United States,United States,United States,United States,United States,China,China,,China,China,China,China,China,China,China,China
Gao Liu,https://openalex.org/A5100682324,United States ---> Germany ---> United States ---> Sweden ---> United States ---> China ---> United States ---> China ---> United States ---> China,14,10,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,United States,,,,,Germany,,United States,United States,United States,Sweden,United States,United States,United States,United States,China,China,China,United States,United States,United States,United States,China,China,China,China,China,United States,United States,China,China,
Guanglong Dong,https://openalex.org/A5109473960,China,0,5,Affiliated with one country,Started and Ended in China,,,,China,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,China,China,,,,China,
H Feng,https://openalex.org/A5052412837,China,0,7,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,China,China,,,,,,,,,China,,,,,China,China,China,China,
Haiyang Xu,https://openalex.org/A5100642201,China,0,13,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,,China,China,China,China,,China,China,China,,China,
Han Yu,https://openalex.org/A5102516031,China ---> Singapore ---> China ---> Hong Kong ---> Australia ---> China,0,7,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,China,,China,,,,,,,,Singapore,,China,China,,China,,Hong Kong,Australia,China,China
Hao Ge,https://openalex.org/A5036154095,China ---> Canada ---> China ---> Canada ---> United States ---> China ---> Japan ---> China,1,12,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,China,,,,,,,,China,,,China,China,China,China,China,China,Canada,China,Canada,United States,China,China,Japan,,China
Haoran Wei,https://openalex.org/A5107950823,China ---> United States ---> China,1,5,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,United States,China,China
Hongyi Yuan,https://openalex.org/A5109367486,China,0,8,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,,,China,China,China,China,China,
Hua Zhong,https://openalex.org/A5101663416,United States ---> China ---> United Kingdom ---> China ---> United Kingdom ---> China ---> United Kingdom ---> China ---> United Kingdom ---> China ---> United States ---> China ---> United States ---> China ---> United Kingdom ---> United States,5,13,Multinational Travel ---> United States,Started and Ended in United States (with travel in between),,,,,,,,United States,,,,United States,,China,,,,,China,,China,China,China,United Kingdom,China,United Kingdom,China,United Kingdom,China,China,United Kingdom,China,China,United States,China,United States,China,United Kingdom,United Kingdom,United States
Huan Lin,https://openalex.org/A5113431179,China,0,5,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,China,,,China,China,,,,,,,,China,China,,
Huancai Lin,https://openalex.org/A5071834880,United States ---> Hong Kong ---> Taiwan ---> China,1,16,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,United States,,,,,,,,,,Hong Kong,Hong Kong,,,,,,Taiwan,,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,
Jiabo Ye,https://openalex.org/A5091465907,China,0,8,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,China,,China,China,China,China,China,China,
Jian Yang,https://openalex.org/A5101503975,Germany ---> China ---> United States,3,2,Multinational Travel ---> United States,"Started in Germany, Ended up in United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany,,,,,China,,China,,United States,United States,,United States
Jianhong Tu,https://openalex.org/A5082583725,China,0,6,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,China,China,China,China,China,,
Jianqiang Wan,https://openalex.org/A5111582686,United States ---> China ---> Cayman Islands ---> United States,4,2,Multinational Travel ---> United States,Started and Ended in United States (with travel in between),,,,,,United States,,,United States,,United States,,,,,,,,,,,,,,,,,,,,,,,China,China,Cayman Islands,,United States,,
Jianwei Zhang,https://openalex.org/A5100326965,Germany ---> China ---> The Netherlands ---> Japan ---> United States ---> China ---> Norway ---> United States ---> China,3,17,Multinational Travel ---> China,"Started in Germany, Ended up in China",,,,,,,Germany,,,,,,,China,,China,China,China,China,China,China,China,China,China,The Netherlands,Japan,Japan,Japan,United States,China,China,China,China,China,China,Norway,United States,United States,China,
Jianxin Ma,https://openalex.org/A5069139054,China ---> United States ---> China ---> United States ---> China ---> United States ---> China ---> United States ---> China,7,21,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,China,China,,,China,China,China,China,China,United States,China,,United States,United States,United States,China,China,China,China,United States,China,United States,United States,China,China,China,China,China,China,China,China,
Jianxin Yang,https://openalex.org/A5107900064,China ---> United States ---> China,1,18,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,China,China,China,China,United States,,China,China,China,China,China,,China,China,,China,China,China,China,China,China,China,
Jiaxi Yang,https://openalex.org/A5008284896,Singapore ---> United States ---> Singapore ---> United States ---> China,5,1,Multinational Travel ---> China,"Started in Singapore, Ended up in China",,,,,,,,,,,,,,,,,,Singapore,,,,,,,,,,,,,,United States,United States,United States,United States,Singapore,Singapore,United States,China,
Jin Xu,https://openalex.org/A5007056124,China ---> Ireland,0,16,Multinational Travel ---> Ireland,"Started in China, Ended up in Ireland",,,,,,,,,,,,,,,,,,,China,China,,China,,China,China,China,China,China,China,,China,China,China,China,China,China,China,Ireland,Ireland,
Jing Zhou,https://openalex.org/A5107979503,United States ---> China ---> United States ---> British Virgin Islands ---> China ---> United States ---> China ---> United States ---> China ---> United States ---> China,12,11,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,United States,,,,,,,United States,United States,United States,United States,China,United States,,British Virgin Islands,China,China,China,China,United States,China,United States,United States,China,China,United States,United States,United States,China,China,China
Jingren Zhou,https://openalex.org/A5057864403,United States ---> United Kingdom ---> United States ---> United Kingdom ---> Finland ---> United States ---> China ---> United Kingdom ---> China ---> Japan ---> China,5,9,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,,,United States,,United States,United Kingdom,United States,United Kingdom,Finland,United States,United States,,China,United Kingdom,United Kingdom,,,China,China,Japan,China,China,China,China,China,China,
Jinze Bai,https://openalex.org/A5063334231,China,0,7,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,China,,,,China
Jun Tang,https://openalex.org/A5103106936,China ---> United States ---> China ---> United Kingdom ---> China,1,7,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,China,United States,China,China,,,China,China,United Kingdom,China,
Juntang Lin,https://openalex.org/A5068166551,China ---> Germany ---> China,0,17,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,China,,,Germany,Germany,,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,
Junyang Lin,https://openalex.org/A5100612233,China ---> United States ---> China,2,7,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,China,China,China,China,United States,United States,China,China,
Kai Dang,https://openalex.org/A5014400759,China ---> Australia ---> China ---> United States ---> Australia ---> United States ---> China ---> Australia ---> China ---> United States ---> Australia,3,10,Multinational Travel ---> Australia,"Started in China, Ended up in Australia",,,,,,,,,,,,,,,,,,,,,,China,,China,China,China,China,Australia,China,United States,Australia,United States,China,China,China,Australia,China,United States,Australia,
Keming Lu,https://openalex.org/A5110849478,United States ---> China ---> United States ---> China,2,6,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,China,China,China,,China,China,United States,China,
Keqin Bao,https://openalex.org/A5112721410,United States,1,0,Affiliated with one country,Started and Ended in United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,
Keqin Chen,https://openalex.org/A5101609559,United States ---> China ---> United States ---> China,6,10,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,United States,United States,United States,,United States,,,,,United States,,,,,,,,,,,,China,,China,,,China,China,China,China,China,China,China,United States,China,
Kexin Yang,https://openalex.org/A5075867408,China,0,7,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,,China,China,China,China,China,
Le Yu,https://openalex.org/A5102521102,China ---> United States ---> China,1,3,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,United States,China,China
Lin Huan,https://openalex.org/A5041942277,China,0,12,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,China,,,,,,,,,,China,China,China,China,China,China,China,China,China,China,China,,,
Linyu Deng,https://openalex.org/A5029086379,China ---> United Kingdom ---> China,0,8,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,China,,,China,China,,,China,China,China,China,,United Kingdom,United Kingdom,China,
Luo Ji,https://openalex.org/A5107942598,China,0,4,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,China,,,,China,China,,China,,,,,,,,,,,,,,,
Mei Li,https://openalex.org/A5100331933,China,0,14,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,China,China,,China,,,China,,China,China,China,China,China,China,China,China,China,,China,
Mingfeng Xue,https://openalex.org/A5004278931,United States,3,0,Affiliated with one country,Started and Ended in United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,United States,United States,,
Mingkun Yang,https://openalex.org/A5062346032,China ---> Taiwan ---> China ---> United States ---> China,1,14,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,China,,China,Taiwan,China,United States,China,China,China,China,China,China,China,China,China,China,China,
