Author,OA_ID,unique_affiliation_count,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1992,ID-1992,affiliation-1990,ID-1990,affiliation-1987,ID-1987
Laurent Orseau,A5110938957,8,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,Australian National University,https://openalex.org/I118347636,Google (United Kingdom),https://openalex.org/I4210113297,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,AgroParisTech,https://openalex.org/I22248866,Institut National de la Recherche Agronomique,https://openalex.org/I1314251682,Université Claude Bernard Lyon 1,https://openalex.org/I100532134,Université Claude Bernard Lyon 1,https://openalex.org/I100532134,Université Claude Bernard Lyon 1,https://openalex.org/I100532134,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,,,Institut National des Sciences Appliquées de Lyon,https://openalex.org/I48430043,Département Mathématiques et Informatique Appliquées,https://openalex.org/I4210102957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levi H. S. Lelis,A5012035228,2,,,University of Alberta,https://openalex.org/I154425047,University of Alberta,https://openalex.org/I154425047,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,Universidade Federal de Viçosa,https://openalex.org/I146165071,University of Alberta,https://openalex.org/I154425047,University of Alberta,https://openalex.org/I154425047,University of Alberta,https://openalex.org/I154425047,,,University of Alberta,https://openalex.org/I154425047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luyang Liu,A5025018072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manfred Diaz,A5025430674,2,,,,,,,,,Université de Montréal,https://openalex.org/I70931966,,,Université de Montréal,https://openalex.org/I70931966,,,Concordia University,https://openalex.org/I60158472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Hütter,A5073944062,8,Google (United States),https://openalex.org/I1291425158,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,Data61,https://openalex.org/I42894916,Australian National University,https://openalex.org/I118347636,DeepMind (United Kingdom),https://openalex.org/I4210090411,Australian National University,https://openalex.org/I118347636,Australian National University,https://openalex.org/I118347636,Australian National University,https://openalex.org/I118347636,DeepMind (United Kingdom),https://openalex.org/I4210090411,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,UNSW Sydney,https://openalex.org/I31746571,ETH Zurich,https://openalex.org/I35440088,ETH Zurich,https://openalex.org/I35440088,Data61,https://openalex.org/I42894916,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Data61,https://openalex.org/I42894916,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Leiden University,https://openalex.org/I121797337,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,,,Dalle Molle Institute for Artificial Intelligence Research,https://openalex.org/I2614128279,,,,,,,,,,,,,,,,
Meera Hahn,A5055189318,3,Universitätsklinikum Tübingen,https://openalex.org/I4210094118,Google (United States),https://openalex.org/I1291425158,,,,,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,Georgia Institute of Technology,https://openalex.org/I130701444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meredith Ringel Morris,A5062285844,8,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Columbia University,https://openalex.org/I78577930,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,University of Washington,https://openalex.org/I201448701,Leiden University,https://openalex.org/I121797337,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Microsoft (United States),https://openalex.org/I1290206253,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Microsoft (United States),https://openalex.org/I1290206253,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,University of Washington,https://openalex.org/I201448701,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,,,,,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,,,,,,,,,,,,,,,,,,,,,,,,,,
Mojtaba Seyedhosseini,A5053494387,2,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,University of Utah,https://openalex.org/I223532165,University of Utah,https://openalex.org/I223532165,University of Utah,https://openalex.org/I223532165,University of Utah,https://openalex.org/I223532165,,,University of Utah,https://openalex.org/I223532165,University of Utah,https://openalex.org/I223532165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nithish Kannen,A5038409403,1,,,,,Indian Institute of Technology Kharagpur,https://openalex.org/I145894827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Sunehag,A5046100176,7,,,,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United States),https://openalex.org/I1291425158,,,,,Google (United Kingdom),https://openalex.org/I4210113297,Australian National University,https://openalex.org/I118347636,Australian National University,https://openalex.org/I118347636,Data61,https://openalex.org/I42894916,Australian National University,https://openalex.org/I118347636,Data61,https://openalex.org/I42894916,Data61,https://openalex.org/I42894916,Data61,https://openalex.org/I42894916,,,Samara National Research University,https://openalex.org/I3124489027,,,Uppsala University,https://openalex.org/I123387679,Uppsala University,https://openalex.org/I123387679,,,,,,,,,,,,,,,,,,,,,,,,
Raphaël Koster,A5082942104,8,Google (United States),https://openalex.org/I1291425158,BP (France),https://openalex.org/I4210135021,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,University College London,https://openalex.org/I45129253,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,National Hospital for Neurology and Neurosurgery,https://openalex.org/I4210151618,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,University of Bremen,https://openalex.org/I180437899,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,,,,,Wellcome Centre for Human Neuroimaging,https://openalex.org/I165524941,,,,,Ministère de l'Économie et des Finances,https://openalex.org/I4210141421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Galt,A5115087384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohin Shah,A5012971694,3,,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,"University of Maryland, College Park",https://openalex.org/I66946132,"University of California, Berkeley",https://openalex.org/I95457486,"University of California, Berkeley",https://openalex.org/I95457486,"University of California, Berkeley",https://openalex.org/I95457486,"University of California, Berkeley",https://openalex.org/I95457486,,,"University of California, Berkeley",https://openalex.org/I95457486,,,"University of California, Berkeley",https://openalex.org/I95457486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Farquhar,A5051690066,2,,,University of Oxford,https://openalex.org/I40120149,DeepMind (United Kingdom),https://openalex.org/I4210090411,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shumeet Baluja,A5085643229,4,,,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Carnegie Mellon University,https://openalex.org/I74973139,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,,,University of Virginia,https://openalex.org/I51556381,Carnegie Mellon University,https://openalex.org/I74973139,,,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,Carnegie Mellon University,https://openalex.org/I74973139,,,Oak Ridge National Laboratory,https://openalex.org/I1289243028,,,,
Simon Osindero,A5052435039,8,,,Google (United Kingdom),https://openalex.org/I4210113297,,,,,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Yahoo (United Kingdom),https://openalex.org/I1325784139,Yahoo (Spain),https://openalex.org/I2800095910,Yahoo (United States),https://openalex.org/I4210134091,,,,,,,,,,,,,,,University of Toronto,https://openalex.org/I185261750,University of Toronto,https://openalex.org/I185261750,University of Toronto,https://openalex.org/I185261750,University of Toronto,https://openalex.org/I185261750,,,Gatsby Charitable Foundation,https://openalex.org/I2800691815,,,University College London,https://openalex.org/I45129253,,,,,,,,,,,,,,,,,,
Soham Ghosh,A5017450507,7,Black & Veatch (United Kingdom),https://openalex.org/I4210154899,SRM Institute of Science and Technology,https://openalex.org/I145286018,Jadavpur University,https://openalex.org/I170979836,University of Kansas,https://openalex.org/I146416000,Arizona State University,https://openalex.org/I55732556,,,University of Engineering & Management,https://openalex.org/I1296725772,,,Nanyang Technological University,https://openalex.org/I172675005,Nanyang Technological University,https://openalex.org/I172675005,,,Nanyang Technological University,https://openalex.org/I172675005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Bileschi,A5089687759,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,McGovern Institute for Brain Research,https://openalex.org/I144112489,McGovern Institute for Brain Research,https://openalex.org/I144112489,McGovern Institute for Brain Research,https://openalex.org/I144112489,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,Computational Physics (United States),https://openalex.org/I4210138427,,,,,,,,,,,,,,,,,,,,,,
Vikrant Varma,A5052084048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wen-Jun Zeng,A5101739843,9,"Eastern Institute of Technology, Ningbo",https://openalex.org/I4394709157,Southwest Jiaotong University,https://openalex.org/I4800084,Eastern Institute of Technology,https://openalex.org/I127108677,,,,,,,Technical University of Darmstadt,https://openalex.org/I31512782,,,Technical University of Darmstadt,https://openalex.org/I31512782,Microsoft Research Asia (China),https://openalex.org/I4210113369,City University of Hong Kong,https://openalex.org/I168719708,University of Missouri,https://openalex.org/I76835614,City University of Hong Kong,https://openalex.org/I168719708,City University of Hong Kong,https://openalex.org/I168719708,Xiamen University of Technology,https://openalex.org/I75867142,Xiamen University,https://openalex.org/I191208505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William A. Cunningham,A5033381741,10,Institute for Technology & Society,https://openalex.org/I4210134293,Vector Institute,https://openalex.org/I4210127509,Schwartz/Reisman Emergency Medicine Institute,https://openalex.org/I4210149858,University of Toronto,https://openalex.org/I185261750,University of Toronto,https://openalex.org/I185261750,University of Southampton,https://openalex.org/I43439940,University of Toronto,https://openalex.org/I185261750,University of Toronto,https://openalex.org/I185261750,The Ohio State University,https://openalex.org/I52357470,Boston University Academy,https://openalex.org/I4210114918,The Ohio State University,https://openalex.org/I52357470,University of Memphis,https://openalex.org/I94658018,The Ohio State University,https://openalex.org/I52357470,The Ohio State University,https://openalex.org/I52357470,The Ohio State University,https://openalex.org/I52357470,The Ohio State University,https://openalex.org/I52357470,The Ohio State University,https://openalex.org/I52357470,The Ohio State University,https://openalex.org/I52357470,The Ohio State University,https://openalex.org/I52357470,,,,,,,,,,,,,,,Wright-Patterson Air Force Base,https://openalex.org/I2799950915,,,U.S. Air Force Institute of Technology,https://openalex.org/I55061410,Wright-Patterson Air Force Base,https://openalex.org/I2799950915,,,,,,,,,,
William Isaac,A5048272174,4,Google (United Kingdom),https://openalex.org/I4210113297,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,Michigan State University,https://openalex.org/I87216513,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,Michigan State University,https://openalex.org/I87216513,Aligarh Muslim University,https://openalex.org/I171210897,,,,,,,,,Michigan State University,https://openalex.org/I87216513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Song,A5101799802,5,Changchun University of Science and Technology,https://openalex.org/I106645853,Zhengzhou Business University,https://openalex.org/I4210155994,Xiamen University,https://openalex.org/I191208505,,,,,Xiamen University,https://openalex.org/I191208505,Nanyang Normal University,https://openalex.org/I4210110718,,,,,,,,,,,Nanyang Normal University,https://openalex.org/I4210110718,,,Xiamen University of Technology,https://openalex.org/I75867142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiao Wang,A5112719601,7,Nanjing Agricultural University,https://openalex.org/I119454577,BGI Research,https://openalex.org/I4387153646,Anhui University,https://openalex.org/I143868143,PLA Information Engineering University,https://openalex.org/I169689159,Qilu University of Technology,https://openalex.org/I152269853,Anhui University,https://openalex.org/I143868143,Wuhan University of Technology,https://openalex.org/I196699116,Wuhan University of Technology,https://openalex.org/I196699116,Wuhan University,https://openalex.org/I37461747,,,,,,,,,,,,,,,,,,,Wuhan University,https://openalex.org/I37461747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaohua Zhai,A5071668416,10,,,Google (United Kingdom),https://openalex.org/I4210113297,Google (Switzerland),https://openalex.org/I4210100430,Google (Switzerland),https://openalex.org/I4210100430,Brain (Germany),https://openalex.org/I4210113520,Mianyang City Center for Disease Control and Prevention,https://openalex.org/I4210112116,College of Tourism,https://openalex.org/I4210102207,Google (United States),https://openalex.org/I1291425158,,,,,Peking University,https://openalex.org/I20231570,,,University of Computer Studies Yangon,https://openalex.org/I80293557,Peking University,https://openalex.org/I20231570,,,Xi'an Aeronautical University,https://openalex.org/I4210133467,,,,,,,Hunan University,https://openalex.org/I16609230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinyun Chen,A5101977007,8,Chengdu University of Traditional Chinese Medicine,https://openalex.org/I53411278,State Forestry and Grassland Administration,https://openalex.org/I4210134523,Beijing Information Science & Technology University,https://openalex.org/I78675632,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/I4210116924,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/I4210116924,Chongqing University of Posts and Telecommunications,https://openalex.org/I10535382,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/I4210116924,Wuhan University,https://openalex.org/I37461747,State Forestry and Grassland Administration,https://openalex.org/I4210134523,,,,,,,,,Xi'an Polytechnic University,https://openalex.org/I27599042,Aviation Industry Corporation of China (China),https://openalex.org/I11838497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ye Xia,A5036985837,4,Beijing Institute of Petrochemical Technology,https://openalex.org/I130541836,ShangHai JiAi Genetics & IVF Institute,https://openalex.org/I4210122302,Jiangsu Academy of Agricultural Sciences,https://openalex.org/I4210087107,Tongji University,https://openalex.org/I116953780,ShangHai JiAi Genetics & IVF Institute,https://openalex.org/I4210122302,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yingju Wu,A5051852804,10,,,Yanshan University,https://openalex.org/I39333907,Yanshan University,https://openalex.org/I39333907,Yanshan University,https://openalex.org/I39333907,State Key Laboratory of Metastable Materials Science and Technology,https://openalex.org/I4391767811,State Key Laboratory of Metastable Materials Science and Technology,https://openalex.org/I4391767811,Yanshan University,https://openalex.org/I39333907,Yanshan University,https://openalex.org/I39333907,Yanshan University,https://openalex.org/I39333907,,,International Society for Optics and Photonics,https://openalex.org/I145996665,,,Wuhan University,https://openalex.org/I37461747,,,University of Bath,https://openalex.org/I51601045,,,,,,,Chung Yuan Christian University,https://openalex.org/I151221077,,,Institute of Materials Research and Engineering,https://openalex.org/I4210123095,Max Planck Institute for Polymer Research,https://openalex.org/I4210095245,National University of Singapore,https://openalex.org/I165932596,University of Missouri–Kansas City,https://openalex.org/I75421653,University of Missouri–Kansas City,https://openalex.org/I75421653,,,,,,,,,,,,,,,,,,,,
Zhe Li,A5100356635,3,Huazhong University of Science and Technology,https://openalex.org/I47720641,Harbin University,https://openalex.org/I1308199089,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,https://openalex.org/I14243506,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong Polytechnic University,https://openalex.org/I14243506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zi Wang,A5101505122,3,University of Pennsylvania,https://openalex.org/I79576946,Yangzhou University,https://openalex.org/I78978612,Jiaxing University,https://openalex.org/I4210092870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
