Author,OA_ID,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_2025,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2024,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2023,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2022,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2021,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2020,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2019,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2018,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2017,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2016,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2015,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2014,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2013,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2012,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2011,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2010,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2009,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2008,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2007,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2006,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2005,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2004,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2003,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2002,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2001,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2000,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_1996,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1991,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1990,affiliation_id_1990,affiliation_country_1990
Angang Du,A5088792207,2,True,True,False,China,,,,,,,,,,Ocean University of China,https://openalex.org/I59028903,China,,,,Megvii (China),https://openalex.org/I4401726805,China,,,,Ocean University of China,https://openalex.org/I59028903,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenzhuang Du,A5044355459,1,True,True,False,China,,,,,,,,,,Tsinghua University,https://openalex.org/I99065089,China,,,,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dehao Zhang,A5046162247,1,True,True,False,China,University of Electronic Science and Technology of China,https://openalex.org/I150229711,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enming Yuan,A5073001520,1,True,True,False,China,,,,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzhe Lu,A5049660040,1,True,True,False,China,,,,,,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,https://openalex.org/I4210087969,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guangzhou Center for Disease Control and Prevention,https://openalex.org/I4210087969,China,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood Sung,A5065232789,1,False,False,False,United Kingdom,,,,,,,,,,,,,,,,,,,,,,Queen Mary University of London,https://openalex.org/I166337079,United Kingdom,Queen Mary University of London,https://openalex.org/I166337079,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guokun Lai,A5015579277,2,False,True,True,China; United States,,,,,,,,,,,,,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Ding,A5005056208,8,False,True,True,China; Norway; United States,,,,Nanjing University,https://openalex.org/I881766915,China,,,,Zhejiang University of Technology,https://openalex.org/I55712492,China,,,,Columbus Oncology and Hematology Associates,https://openalex.org/I4210094388,United States,,,,Zhejiang University of Technology,https://openalex.org/I55712492,China,,,,University of Science and Technology Beijing,https://openalex.org/I92403157,China,University of Science and Technology Beijing,https://openalex.org/I92403157,China,Case Western Reserve University,https://openalex.org/I58956616,United States,Jiangxi University of Technology,https://openalex.org/I3131412887,China,University of Science and Technology Beijing,https://openalex.org/I92403157,China,,,,,,,,,,,,,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,Norwegian University of Science and Technology,https://openalex.org/I204778367,Norway,,,,,,,,,,,,,Shanghai Institute of Optics and Fine Mechanics,https://openalex.org/I4210135349,China,,,,,,
Hao Hu,A5084214981,5,True,True,False,China,Nanjing University of Science and Technology,https://openalex.org/I36399199,China,Nanjing University of Chinese Medicine,https://openalex.org/I131434179,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Nanjing University of Chinese Medicine,https://openalex.org/I131434179,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Jiao Tong University,https://openalex.org/I183067930,China,Shanghai Jiao Tong University,https://openalex.org/I183067930,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Shanghai Ocean University,https://openalex.org/I44675526,China,Yangtze University,https://openalex.org/I177739611,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao Zhang,A5100732538,6,True,True,False,China,Henan University,https://openalex.org/I173899330,China,China Iron and Steel Research Institute Group,https://openalex.org/I3019120426,China,Beijing Institute of Technology,https://openalex.org/I125839683,China,Institute of Disaster Prevention,https://openalex.org/I4210098369,China,Henan Agricultural University,https://openalex.org/I4750791,China,China University of Geosciences,https://openalex.org/I3124059619,China,Henan Agricultural University,https://openalex.org/I4750791,China,Henan Agricultural University,https://openalex.org/I4750791,China,Henan Agricultural University,https://openalex.org/I4750791,China,Henan Agricultural University,https://openalex.org/I4750791,China,,,,,,,Henan Agricultural University,https://openalex.org/I4750791,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haotian Yao,A5071838616,2,True,True,False,China,,,,Sichuan University,https://openalex.org/I24185976,China,Sichuan University,https://openalex.org/I24185976,China,Sichuan University,https://openalex.org/I24185976,China,Beihang University,https://openalex.org/I82880672,China,Sichuan University,https://openalex.org/I24185976,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongcheng Gao,A5110370692,6,True,True,False,China,,,,Anqing Normal University,https://openalex.org/I46482218,China,,,,Tsinghua University,https://openalex.org/I99065089,China,,,,Qingdao University,https://openalex.org/I108688024,China,Energy Research Institute,https://openalex.org/I4210094970,China,Northeastern University,https://openalex.org/I9224756,China,,,,,,,,,,,,,,,,Peking University,https://openalex.org/I20231570,China,,,,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,,,,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,,,,,,,,,,,,
Huabin Zheng,A5111649512,1,True,True,False,China,,,,,,,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianlin Su,A5078222384,5,False,True,False,China; Taiwan,Southeast University,https://openalex.org/I76569877,China,Putian University,https://openalex.org/I64449678,China,,,,,,,Shanghai Huayi Group (China),https://openalex.org/I4210144436,China,,,,Sun Yat-sen University,https://openalex.org/I157773358,China,Sun Yat-sen University,https://openalex.org/I157773358,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academia Sinica,https://openalex.org/I84653119,Taiwan,,,
Jianzhou Wang,A5044720245,7,False,True,False,China; Macao,Kunming University of Science and Technology,https://openalex.org/I10660446,China,Macau University of Science and Technology,https://openalex.org/I111950717,Macao,Lanzhou University,https://openalex.org/I76214153,China,Hunan Normal University,https://openalex.org/I173759888,China,Tibet University,https://openalex.org/I140786321,China,Tibet University,https://openalex.org/I140786321,China,Lanzhou University,https://openalex.org/I76214153,China,Dongbei University of Finance and Economics,https://openalex.org/I130480701,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Xi'an Jiaotong University,https://openalex.org/I87445476,China,Dongbei University of Finance and Economics,https://openalex.org/I130480701,China,Lanzhou University,https://openalex.org/I76214153,China,,,,,,,Lanzhou University,https://openalex.org/I76214153,China,Lanzhou University,https://openalex.org/I76214153,China,,,,Lanzhou University,https://openalex.org/I76214153,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junjie Yan,A5028565054,4,False,True,False,Canada; China,,,,,,,,,,,,,,,,,,,,,,Jinan University,https://openalex.org/I159948400,China,,,,University of Science and Technology of China,https://openalex.org/I126520041,China,,,,,,,,,,,,,Zhejiang University,https://openalex.org/I76130692,China,,,,,,,,,,Memorial University of Newfoundland,https://openalex.org/I130438778,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junming Liu,A5102863611,5,False,True,False,China; Hong Kong,,,,Guangdong University of Technology,https://openalex.org/I139024713,China,Shenyang Ligong University,https://openalex.org/I116036724,China,China Agricultural University,https://openalex.org/I52158045,China,City University of Hong Kong,https://openalex.org/I168719708,Hong Kong,City University of Hong Kong,https://openalex.org/I168719708,Hong Kong,Hangzhou Dianzi University,https://openalex.org/I50760025,China,Hangzhou Dianzi University,https://openalex.org/I50760025,China,,,,,,,,,,,,,,,,China Agricultural University,https://openalex.org/I52158045,China,,,,,,,,,,,,,China Agricultural University,https://openalex.org/I52158045,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi Team,A5116011620,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longhui Yu,A5049419584,5,False,True,False,China; Hong Kong,Northwest A&F University,https://openalex.org/I89652312,China,Hong Kong University of Science and Technology,https://openalex.org/I200769079,Hong Kong,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Nanchang University,https://openalex.org/I141649914,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mengjiao Dong,A5078616374,3,True,True,False,China,Jining University,https://openalex.org/I4210127530,China,,,,Tianjin Normal University,https://openalex.org/I15062923,China,Liaoning University,https://openalex.org/I118803816,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaowei Liu,A5102884727,1,True,True,False,China,,,,University of Science and Technology Beijing,https://openalex.org/I92403157,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W. He,A5014305191,4,False,True,True,China; United States,Wuhan University,https://openalex.org/I37461747,China,Beijing Institute of Technology,https://openalex.org/I125839683,China,Abilene Christian University,https://openalex.org/I60205797,United States,Fudan University,https://openalex.org/I24943067,China,Fudan University,https://openalex.org/I24943067,China,Abilene Christian University,https://openalex.org/I60205797,United States,,,,Fudan University,https://openalex.org/I24943067,China,Fudan University,https://openalex.org/I24943067,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weixiao Huang,A5013900180,3,False,False,True,United Kingdom; United States,,,,,,,,,,,,,Worcester Polytechnic Institute,https://openalex.org/I107077323,United States,"University of California, Davis",https://openalex.org/I84218800,United States,Worcester Polytechnic Institute,https://openalex.org/I107077323,United States,,,,University of Bristol,https://openalex.org/I36234482,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X. H. Zhou,A5063131799,8,True,True,False,China,Second Military Medical University,https://openalex.org/I177933477,China,Guangxi Normal University,https://openalex.org/I29739308,China,Xinjiang Institute of Ecology and Geography,https://openalex.org/I4210103115,China,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,Hunan City University,https://openalex.org/I39521962,China,Huizhou University,https://openalex.org/I93477617,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,South China Normal University,https://openalex.org/I187400657,China,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,,,,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,Chinese Academy of Sciences,https://openalex.org/I19820366,China,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingzhe Wu,A5086375722,1,True,True,False,China,,,,,,,,,,,,,Central China Normal University,https://openalex.org/I40963666,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinxing Zu,A5028097242,2,False,True,True,China; United States,,,,Alibaba Group (United States),https://openalex.org/I4210095624,United States,,,,,,,Alibaba Group (United States),https://openalex.org/I4210095624,United States,Alibaba Group (China),https://openalex.org/I45928872,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Liu,A5113647044,6,False,True,False,China; Hong Kong,Hong Kong University of Science and Technology,https://openalex.org/I200769079,Hong Kong,North Sichuan Medical University,https://openalex.org/I105086349,China,,,,,,,,,,,,,Dalian Jiaotong University,https://openalex.org/I7350606,China,Wuhan University of Science and Technology,https://openalex.org/I43922553,China,State Key Laboratory of Virology,https://openalex.org/I4391768268,China,State Key Laboratory of Virology,https://openalex.org/I4391768268,China,,,,,,,,,,,,,,,,,,,Wuhan University of Science and Technology,https://openalex.org/I43922553,China,Wuhan University,https://openalex.org/I37461747,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Q. Wang,A5075248805,1,False,False,False,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunel University of London,https://openalex.org/I59433898,United Kingdom,,,,,,,,,
Yangyang Hu,A5101075955,8,False,True,True,China; United States,Shanghai University,https://openalex.org/I113940042,China,Ningbo University,https://openalex.org/I109935558,China,Tianjin Normal University,https://openalex.org/I15062923,China,"University of California, Riverside",https://openalex.org/I103635307,United States,Wuhan Institute of Technology,https://openalex.org/I91125648,China,Kunming University of Science and Technology,https://openalex.org/I10660446,China,Wuhan Ship Development & Design Institute,https://openalex.org/I4210129465,China,,,,China Earthquake Administration,https://openalex.org/I90149893,China,"University of California, Riverside",https://openalex.org/I103635307,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanru Chen,A5100695889,6,True,True,False,China,Tsinghua University,https://openalex.org/I99065089,China,China Aerodynamics Research and Development Center,https://openalex.org/I2802505932,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,Shaoxing University,https://openalex.org/I192209268,China,Wuhan Institute of Technology,https://openalex.org/I91125648,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,Southwest Jiaotong University,https://openalex.org/I4800084,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiping Bao,A5043216848,2,True,True,False,China,,,,Hunan Xiangdian Test Research Institute (China),https://openalex.org/I4210122501,China,Qingdao University,https://openalex.org/I108688024,China,,,,,,,,,,,,,,,,,,,Qingdao University,https://openalex.org/I108688024,China,,,,Qingdao University,https://openalex.org/I108688024,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yulun Du,A5012998749,3,False,True,True,China; United States,Chengdu University of Technology,https://openalex.org/I31595395,China,Chengdu University of Technology,https://openalex.org/I31595395,China,Columbia University,https://openalex.org/I78577930,United States,,,,,,,,,,,,,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuxin Wu,A5014209482,4,False,True,True,China; United States,Yangzhou University,https://openalex.org/I78978612,China,Shandong University,https://openalex.org/I154099455,China,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Guangdong Provincial Academy of Environmental Science,https://openalex.org/I4210144285,China,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,Lawrence Berkeley National Laboratory,https://openalex.org/I148283060,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuzhi Wang,A5100669047,5,True,True,False,China,,,,,,,Sun Yat-sen University,https://openalex.org/I157773358,China,,,,Zhejiang University of Technology,https://openalex.org/I55712492,China,Zhejiang University of Technology,https://openalex.org/I55712492,China,Zhejiang University of Technology,https://openalex.org/I55712492,China,,,,,,,,,,Liaocheng People's Hospital,https://openalex.org/I4210160222,China,Southeast University,https://openalex.org/I76569877,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academy of Military Medical Sciences,https://openalex.org/I2802541053,China
Zaida Zhou,A5113154912,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhaowei Li,A5108055321,6,False,True,True,China; United States,,,,,,,NARI Group (China),https://openalex.org/I4210118629,China,China University of Mining and Technology,https://openalex.org/I25757504,China,Beihang University,https://openalex.org/I82880672,China,Beijing Advanced Sciences and Innovation Center,https://openalex.org/I4210165198,China,,,,,,,Beijing Forestry University,https://openalex.org/I31683504,China,,,,,,,,,,,,,Electric Power Research Institute,https://openalex.org/I1335486098,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zheng Zhang,A5115596378,3,True,True,False,China,Beijing Tongren Hospital,https://openalex.org/I1294606314,China,Harbin Institute of Technology,https://openalex.org/I204983213,China,,,,,,,,,,,,,,,,Capital Medical University,https://openalex.org/I183519381,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhilin Yang,A5050303775,5,False,True,False,China; Hong Kong,Kunming Medical University,https://openalex.org/I26080491,China,Hangzhou Normal University,https://openalex.org/I163151501,China,North China University of Water Resources and Electric Power,https://openalex.org/I198645480,China,North China University of Water Resources and Electric Power,https://openalex.org/I198645480,China,North China University of Water Resources and Electric Power,https://openalex.org/I198645480,China,North China University of Water Resources and Electric Power,https://openalex.org/I198645480,China,North China University of Water Resources and Electric Power,https://openalex.org/I198645480,China,China University of Mining and Technology,https://openalex.org/I25757504,China,China University of Mining and Technology,https://openalex.org/I25757504,China,City University of Hong Kong,https://openalex.org/I168719708,Hong Kong,China University of Mining and Technology,https://openalex.org/I25757504,China,China University of Mining and Technology,https://openalex.org/I25757504,China,,,,,,,China University of Mining and Technology,https://openalex.org/I25757504,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhiqi Huang,A5103191012,6,False,True,False,China; Hong Kong; Singapore,Nantong University,https://openalex.org/I199305430,China,City University of Hong Kong,https://openalex.org/I168719708,Hong Kong,City University of Hong Kong,https://openalex.org/I168719708,Hong Kong,Bioscience (China),https://openalex.org/I4210089756,China,Aviation General Hospital,https://openalex.org/I4210161699,China,Hangzhou Dianzi University,https://openalex.org/I50760025,China,Hangzhou Dianzi University,https://openalex.org/I50760025,China,Nanyang Technological University,https://openalex.org/I172675005,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhiyi Huang,A5090297023,4,False,True,False,China; New Zealand,Wenzhou Medical University,https://openalex.org/I27781120,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,University of Otago,https://openalex.org/I80281795,New Zealand,Xiamen University,https://openalex.org/I191208505,China,University of Otago,https://openalex.org/I80281795,New Zealand,Xiamen University,https://openalex.org/I191208505,China,University of Otago,https://openalex.org/I80281795,New Zealand,University of Otago,https://openalex.org/I80281795,New Zealand,University of Otago,https://openalex.org/I80281795,New Zealand,University of Otago,https://openalex.org/I80281795,New Zealand,,,,Xiamen University,https://openalex.org/I191208505,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
